response,contact_ind,dummy_cus_key,loan_amount,channel
0,N,A000001,,Phone Call
0,N,A000002,,Phone Call
0,N,A000003,,SMS
0,Y,A000004,,SMS
0,N,A000005,,Email
0,N,A000006,,Email
0,N,A000007,,Phone Call
0,Y,A000008,,Email
0,N,A000009,,SMS
0,Y,A000010,,Phone Call
0,N,A000011,,SMS
0,N,A000012,,Email
0,N,A000013,,Email
0,N,A000014,,Email
0,N,A000015,,SMS
0,N,A000016,,Phone Call
0,N,A000017,,Phone Call
0,N,A000018,,Email
0,N,A000019,,Phone Call
0,N,A000020,,Phone Call
0,Y,A000021,,Phone Call
0,N,A000022,,Phone Call
0,Y,A000023,,Phone Call
0,Y,A000024,,Email
0,N,A000025,,SMS
0,N,A000026,,SMS
0,Y,A000027,,Email
0,Y,A000028,,Phone Call
0,N,A000029,,SMS
0,N,A000030,,Phone Call
0,N,A000031,,Phone Call
0,N,A000032,,SMS
1,N,A000033,159738,Email
0,N,A000034,,Phone Call
0,N,A000035,,Phone Call
0,N,A000036,,Email
0,N,A000037,,Phone Call
0,N,A000038,,SMS
0,Y,A000039,,Email
0,N,A000040,,Phone Call
0,Y,A000041,,Email
0,N,A000042,,Email
0,N,A000043,,SMS
0,N,A000044,,Phone Call
0,N,A000045,,SMS
0,Y,A000046,,Email
0,N,A000047,,Email
0,N,A000048,,SMS
0,Y,A000049,,Phone Call
0,Y,A000050,,Phone Call
0,N,A000051,,SMS
0,Y,A000052,,Phone Call
1,Y,A000053,163530,Phone Call
0,N,A000054,,Phone Call
0,N,A000055,,Phone Call
0,N,A000056,,Email
0,N,A000057,,Phone Call
0,N,A000058,,Phone Call
1,N,A000059,177992,Email
0,Y,A000060,,SMS
0,N,A000061,,Phone Call
0,Y,A000062,,Phone Call
0,Y,A000063,,Email
0,N,A000064,,Email
0,N,A000065,,Phone Call
0,Y,A000066,,Phone Call
0,Y,A000067,,Phone Call
0,N,A000068,,Phone Call
0,N,A000069,,SMS
0,N,A000070,,Phone Call
0,Y,A000071,,SMS
0,N,A000072,,Phone Call
0,Y,A000073,,SMS
0,Y,A000074,,Phone Call
0,N,A000075,,SMS
0,Y,A000076,,Email
0,Y,A000077,,Email
1,Y,A000078,179316,Phone Call
0,N,A000079,,SMS
0,N,A000080,,Email
0,N,A000081,,SMS
0,N,A000082,,Email
0,Y,A000083,,SMS
0,N,A000084,,Email
0,N,A000085,,SMS
0,N,A000086,,Email
0,N,A000087,,Email
0,Y,A000088,,SMS
0,Y,A000089,,SMS
0,Y,A000090,,SMS
0,Y,A000091,,SMS
0,Y,A000092,,Email
0,N,A000093,,Email
0,N,A000094,,Email
0,Y,A000095,,Email
0,Y,A000096,,SMS
0,N,A000097,,Phone Call
0,N,A000098,,SMS
0,Y,A000099,,Email
0,N,A000100,,Email
0,N,A000101,,Email
0,Y,A000102,,Phone Call
0,N,A000103,,SMS
0,Y,A000104,,Phone Call
0,N,A000105,,Phone Call
0,N,A000106,,SMS
0,N,A000107,,Phone Call
0,N,A000108,,Phone Call
0,Y,A000109,,Phone Call
0,N,A000110,,Email
0,N,A000111,,Email
0,N,A000112,,Phone Call
0,N,A000113,,Phone Call
0,Y,A000114,,SMS
0,N,A000115,,Phone Call
0,N,A000116,,Email
0,N,A000117,,Phone Call
0,Y,A000118,,Email
0,N,A000119,,SMS
0,Y,A000120,,Email
0,N,A000121,,SMS
0,N,A000122,,Email
0,Y,A000123,,Email
0,Y,A000124,,Email
0,N,A000125,,Email
0,N,A000126,,Phone Call
0,N,A000127,,Phone Call
0,N,A000128,,Email
0,N,A000129,,SMS
0,N,A000130,,Email
0,N,A000131,,Phone Call
0,N,A000132,,Phone Call
0,N,A000133,,SMS
0,Y,A000134,,Phone Call
0,N,A000135,,Email
0,N,A000136,,Email
0,Y,A000137,,SMS
0,N,A000138,,Email
0,Y,A000139,,Email
0,N,A000140,,Email
0,N,A000141,,Email
0,N,A000142,,Phone Call
0,N,A000143,,SMS
0,N,A000144,,Email
0,Y,A000145,,Email
0,N,A000146,,Phone Call
0,N,A000147,,Email
0,N,A000148,,Email
0,N,A000149,,SMS
0,N,A000150,,Phone Call
0,N,A000151,,SMS
0,N,A000152,,Email
0,N,A000153,,Email
0,N,A000154,,Email
0,N,A000155,,Email
0,Y,A000156,,Phone Call
0,N,A000157,,SMS
0,Y,A000158,,Email
0,Y,A000159,,Email
0,Y,A000160,,Email
0,Y,A000161,,Email
0,N,A000162,,SMS
0,N,A000163,,SMS
0,Y,A000164,,Phone Call
0,N,A000165,,SMS
0,Y,A000166,,Email
0,N,A000167,,Phone Call
0,N,A000168,,Email
0,N,A000169,,Email
0,N,A000170,,Email
0,Y,A000171,,Phone Call
0,N,A000172,,Phone Call
0,Y,A000173,,Email
0,Y,A000174,,Email
0,N,A000175,,Email
0,N,A000176,,SMS
0,N,A000177,,SMS
1,N,A000178,182558,Email
0,N,A000179,,SMS
0,Y,A000180,,Email
1,N,A000181,256622,Email
0,N,A000182,,SMS
0,N,A000183,,Email
0,Y,A000184,,Email
0,N,A000185,,Email
0,Y,A000186,,Email
0,N,A000187,,Email
0,N,A000188,,SMS
0,Y,A000189,,Phone Call
0,N,A000190,,SMS
0,N,A000191,,Email
0,Y,A000192,,Phone Call
0,Y,A000193,,SMS
0,Y,A000194,,Phone Call
0,N,A000195,,Phone Call
