msk_instl_loan_user,msk_other_lending_user,msk_ever_loan_user,msk_mth_since_last_limit_review,msk_unauth_over_card_limit,dummy_cus_key
N,N,0,3,0,A000001
N,N,0,29,0,A000002
N,N,0,19,0,A000003
N,N,0,21,0,A000004
N,N,0,12,0,A000005
N,N,0,17,0,A000006
N,Y,1,10,1,A000007
N,Y,0,46,1,A000008
N,N,0,19,1,A000009
N,N,0,8,0,A000010
N,N,0,64,0,A000011
N,N,0,5,0,A000012
N,N,0,54,0,A000013
N,N,0,3,0,A000014
N,N,0,1,1,A000015
N,N,0,13,0,A000016
N,N,0,23,0,A000017
N,N,0,114,0,A000018
N,N,1,6,0,A000019
N,N,0,71,0,A000020
N,N,0,2,0,A000021
N,N,0,2,0,A000022
N,N,0,11,0,A000023
N,N,0,56,0,A000024
N,N,0,8,0,A000025
N,N,0,1,0,A000026
N,N,0,3,0,A000027
N,Y,1,3,1,A000028
N,N,0,126,0,A000029
N,N,0,9,0,A000030
N,N,0,62,1,A000031
N,N,0,125,0,A000032
Y,N,1,,1,A000033
N,N,0,75,0,A000034
Y,N,1,16,0,A000035
N,N,0,29,0,A000036
N,N,1,3,0,A000037
N,N,0,14,1,A000038
N,Y,1,45,1,A000039
N,N,0,18,0,A000040
N,N,1,14,0,A000041
Y,N,1,6,1,A000042
N,N,0,60,0,A000043
N,N,0,7,0,A000044
N,N,0,42,0,A000045
N,N,0,56,0,A000046
N,N,0,34,0,A000047
N,N,0,105,0,A000048
N,N,1,,0,A000049
N,N,0,18,0,A000050
N,N,0,40,0,A000051
N,N,0,,0,A000052
Y,N,1,5,0,A000053
N,N,0,13,0,A000054
N,N,0,56,0,A000055
N,N,0,21,0,A000056
N,N,0,66,0,A000057
N,N,0,64,0,A000058
N,Y,1,,1,A000059
N,N,1,5,0,A000060
N,N,0,179,0,A000061
N,N,0,26,0,A000062
Y,N,1,14,1,A000063
N,N,0,3,0,A000064
N,N,0,42,0,A000065
N,N,0,17,0,A000066
N,N,0,67,0,A000067
N,N,0,75,0,A000068
N,N,0,,0,A000069
N,N,0,169,0,A000070
N,N,0,25,0,A000071
N,N,0,127,0,A000072
N,N,0,45,1,A000073
N,N,0,56,0,A000074
N,N,0,109,0,A000075
N,N,1,29,0,A000076
N,N,0,3,1,A000077
N,Y,1,93,1,A000078
N,N,0,22,0,A000079
N,N,0,186,1,A000080
N,N,0,13,0,A000081
N,N,0,43,0,A000082
N,N,1,37,0,A000083
N,N,1,56,0,A000084
N,N,0,52,0,A000085
N,N,0,24,0,A000086
N,N,0,5,0,A000087
N,Y,1,,0,A000088
N,N,0,,0,A000089
N,N,0,67,0,A000090
N,N,1,11,0,A000091
N,N,0,31,0,A000092
N,N,0,1,0,A000093
N,N,1,31,0,A000094
N,N,0,44,1,A000095
N,N,1,28,0,A000096
N,N,0,17,0,A000097
N,N,0,,0,A000098
N,Y,1,8,0,A000099
N,N,0,67,0,A000100
N,N,0,0,0,A000101
N,Y,1,,0,A000102
N,N,0,11,0,A000103
N,Y,1,28,0,A000104
N,N,0,68,0,A000105
Y,N,1,1,0,A000106
N,N,0,49,0,A000107
N,N,0,50,0,A000108
N,N,0,37,0,A000109
N,N,0,10,0,A000110
N,N,0,16,0,A000111
N,N,0,1,0,A000112
N,N,0,4,0,A000113
N,N,0,38,0,A000114
N,N,0,152,0,A000115
N,N,0,115,1,A000116
Y,N,1,105,0,A000117
Y,N,1,80,0,A000118
N,N,0,19,1,A000119
N,N,0,80,0,A000120
N,Y,1,1,0,A000121
N,N,0,169,0,A000122
N,N,0,21,0,A000123
N,N,1,158,0,A000124
Y,N,1,,0,A000125
N,N,0,8,0,A000126
N,N,0,48,0,A000127
N,N,0,36,0,A000128
N,N,0,2,0,A000129
N,N,0,12,0,A000130
N,N,0,78,0,A000131
N,N,0,22,0,A000132
N,N,0,46,1,A000133
N,N,0,58,0,A000134
N,N,0,91,0,A000135
N,N,0,50,0,A000136
N,N,0,27,0,A000137
N,N,0,96,0,A000138
N,N,0,2,0,A000139
N,N,0,130,0,A000140
N,N,0,25,0,A000141
N,N,0,16,0,A000142
N,N,0,176,0,A000143
N,N,0,66,1,A000144
N,N,0,3,0,A000145
N,N,0,,0,A000146
N,N,0,56,0,A000147
N,N,1,128,0,A000148
N,N,0,,0,A000149
N,N,0,68,0,A000150
N,N,0,1,0,A000151
N,N,0,57,0,A000152
N,N,0,26,0,A000153
N,N,0,11,0,A000154
N,N,0,6,0,A000155
N,N,0,190,0,A000156
N,N,0,9,0,A000157
N,N,1,11,0,A000158
N,Y,0,92,0,A000159
Y,N,1,,0,A000160
N,N,0,3,1,A000161
N,N,0,128,0,A000162
N,N,0,71,0,A000163
N,N,0,2,1,A000164
N,N,0,61,0,A000165
N,N,0,40,0,A000166
N,N,0,67,0,A000167
N,N,0,2,0,A000168
N,N,0,63,0,A000169
N,N,0,82,0,A000170
N,N,0,58,0,A000171
N,N,0,69,0,A000172
N,Y,1,,1,A000173
N,N,0,67,0,A000174
N,N,0,45,0,A000175
N,N,0,64,0,A000176
N,N,0,20,0,A000177
N,N,1,12,0,A000178
N,N,0,26,0,A000179
N,N,0,3,1,A000180
N,N,0,,0,A000181
N,N,0,41,0,A000182
N,N,0,112,0,A000183
N,N,0,104,0,A000184
N,N,1,5,0,A000185
N,N,0,2,1,A000186
N,N,0,12,0,A000187
N,N,0,7,0,A000188
N,N,0,3,0,A000189
N,N,0,20,0,A000190
N,N,0,149,1,A000191
N,N,0,65,0,A000192
Y,N,1,2,0,A000193
Y,N,1,1,0,A000194
N,N,0,26,0,A000195
N,Y,1,47,1,A000196
N,N,0,76,0,A000197
N,N,0,,1,A000198
N,N,0,94,0,A000199
N,N,0,70,0,A000200
Y,N,1,1,0,A000201
N,N,0,12,0,A000202
N,N,0,18,0,A000203
N,N,0,103,0,A000204
N,N,0,17,0,A000205
N,N,0,34,0,A000206
N,N,0,12,0,A000207
N,N,0,20,0,A000208
N,N,0,,0,A000209
N,N,0,193,0,A000210
N,N,0,56,0,A000211
N,N,0,18,0,A000212
N,N,0,64,0,A000213
N,N,0,13,0,A000214
N,N,0,68,0,A000215
N,N,0,64,0,A000216
N,N,0,4,1,A000217
N,N,0,20,0,A000218
N,N,0,9,0,A000219
N,N,0,7,1,A000220
N,N,0,22,1,A000221
N,Y,1,13,1,A000222
N,N,0,34,0,A000223
N,N,0,45,0,A000224
N,N,0,10,0,A000225
N,N,0,9,0,A000226
N,N,0,38,0,A000227
N,N,0,10,0,A000228
N,N,0,185,0,A000229
N,N,0,3,0,A000230
N,Y,1,0,1,A000231
N,N,0,70,0,A000232
Y,N,1,49,0,A000233
N,N,1,3,0,A000234
N,N,1,69,0,A000235
N,N,1,104,0,A000236
N,N,0,50,0,A000237
N,N,1,12,0,A000238
N,N,0,55,0,A000239
N,N,0,105,0,A000240
N,N,0,19,1,A000241
N,N,0,59,0,A000242
N,N,0,10,0,A000243
Y,N,1,101,1,A000244
Y,N,1,,0,A000245
N,N,0,68,0,A000246
N,N,0,21,0,A000247
N,N,0,21,1,A000248
N,N,0,10,0,A000249
N,N,0,83,0,A000250
N,N,0,19,0,A000251
N,N,1,57,0,A000252
N,Y,1,1,1,A000253
N,Y,0,38,0,A000254
N,N,0,31,0,A000255
N,N,0,31,0,A000256
N,N,0,52,0,A000257
N,N,1,17,0,A000258
N,N,0,62,0,A000259
N,N,0,49,0,A000260
N,N,0,9,0,A000261
N,N,0,74,0,A000262
N,N,0,14,0,A000263
N,N,0,21,0,A000264
N,N,0,14,0,A000265
N,N,0,22,0,A000266
N,N,0,130,0,A000267
N,Y,1,36,1,A000268
N,N,0,9,0,A000269
N,N,0,30,0,A000270
N,N,0,6,0,A000271
N,N,0,2,0,A000272
N,Y,1,51,0,A000273
N,N,0,2,0,A000274
N,N,0,57,0,A000275
N,N,0,116,0,A000276
N,N,0,17,0,A000277
N,N,0,9,0,A000278
Y,N,1,56,1,A000279
N,N,0,46,0,A000280
N,N,0,33,0,A000281
N,Y,0,34,1,A000282
N,N,0,35,1,A000283
N,N,0,50,1,A000284
N,N,0,4,1,A000285
N,N,0,2,0,A000286
N,Y,1,,1,A000287
N,N,0,156,0,A000288
N,Y,1,10,1,A000289
N,N,1,1,0,A000290
Y,N,1,,0,A000291
N,N,0,11,0,A000292
N,N,0,32,0,A000293
Y,N,1,2,0,A000294
N,N,0,60,1,A000295
N,N,0,59,0,A000296
N,N,0,19,0,A000297
N,N,0,26,0,A000298
N,N,0,88,0,A000299
N,N,0,19,0,A000300
N,N,0,48,1,A000301
N,N,0,3,0,A000302
N,N,0,9,0,A000303
N,N,0,23,0,A000304
N,N,0,0,0,A000305
N,N,0,18,0,A000306
N,N,0,9,0,A000307
N,N,0,93,0,A000308
N,Y,1,24,0,A000309
N,N,0,12,1,A000310
Y,N,1,0,0,A000311
N,N,0,50,0,A000312
N,Y,1,29,0,A000313
N,N,0,21,0,A000314
N,N,0,6,0,A000315
N,N,0,48,0,A000316
N,Y,1,7,0,A000317
N,N,1,21,0,A000318
N,N,0,179,0,A000319
N,N,0,5,0,A000320
N,N,0,39,0,A000321
N,N,0,74,0,A000322
N,N,1,59,0,A000323
N,N,0,19,0,A000324
N,N,0,1,0,A000325
N,N,0,8,0,A000326
Y,N,1,11,0,A000327
N,N,0,9,1,A000328
N,N,0,4,0,A000329
N,N,0,14,0,A000330
N,N,0,7,1,A000331
N,N,0,45,0,A000332
N,N,1,71,0,A000333
N,N,0,24,0,A000334
N,N,0,97,0,A000335
N,N,0,,0,A000336
N,N,0,68,0,A000337
N,N,0,19,0,A000338
N,N,0,179,0,A000339
N,N,0,12,0,A000340
N,N,0,6,0,A000341
N,N,0,34,0,A000342
N,N,1,,0,A000343
N,N,1,5,0,A000344
N,N,1,56,1,A000345
N,N,0,62,0,A000346
N,N,0,10,1,A000347
N,N,0,,0,A000348
N,N,0,8,0,A000349
N,N,0,1,0,A000350
N,N,0,30,0,A000351
N,N,0,48,0,A000352
N,N,0,83,1,A000353
N,Y,1,44,0,A000354
N,Y,0,79,0,A000355
N,N,0,10,0,A000356
N,N,0,36,0,A000357
N,N,0,169,1,A000358
N,N,0,132,0,A000359
N,Y,1,9,0,A000360
N,Y,1,108,0,A000361
N,N,0,67,0,A000362
N,N,0,58,0,A000363
N,N,0,0,1,A000364
N,Y,0,32,0,A000365
N,N,0,23,0,A000366
N,N,0,146,1,A000367
Y,N,1,47,1,A000368
N,N,0,25,0,A000369
N,N,0,160,0,A000370
N,N,0,46,0,A000371
N,N,1,56,0,A000372
N,N,0,20,0,A000373
N,N,0,93,0,A000374
N,N,0,,0,A000375
N,N,0,0,0,A000376
N,N,0,35,0,A000377
N,N,0,129,0,A000378
N,N,0,10,0,A000379
N,Y,1,0,0,A000380
N,Y,1,0,0,A000381
N,N,0,13,0,A000382
N,N,0,9,0,A000383
N,Y,1,,0,A000384
N,N,0,9,1,A000385
N,N,0,3,0,A000386
N,N,0,61,0,A000387
N,N,0,22,0,A000388
Y,N,1,33,1,A000389
N,Y,1,30,0,A000390
N,N,0,70,0,A000391
N,N,0,17,0,A000392
N,N,0,49,0,A000393
N,N,0,0,0,A000394
N,N,1,2,0,A000395
N,N,0,34,0,A000396
N,N,0,14,0,A000397
N,N,0,160,0,A000398
N,N,0,23,0,A000399
N,N,0,30,0,A000400
N,Y,1,17,0,A000401
N,N,0,168,0,A000402
N,N,0,23,0,A000403
N,N,0,13,0,A000404
N,N,0,141,0,A000405
N,N,0,13,0,A000406
N,N,0,189,1,A000407
N,N,0,78,0,A000408
N,N,0,0,0,A000409
N,N,0,74,0,A000410
N,Y,1,0,1,A000411
N,N,0,9,0,A000412
N,N,0,4,0,A000413
N,Y,1,52,0,A000414
N,N,0,38,0,A000415
N,N,0,57,0,A000416
N,N,0,52,0,A000417
N,N,1,10,1,A000418
N,N,1,108,0,A000419
N,N,0,10,1,A000420
N,N,0,24,0,A000421
N,N,0,22,0,A000422
N,N,1,49,0,A000423
N,N,0,169,0,A000424
N,N,0,179,0,A000425
N,Y,1,51,0,A000426
N,N,1,27,0,A000427
N,N,0,18,0,A000428
N,N,0,87,0,A000429
N,N,0,109,0,A000430
N,N,0,5,0,A000431
N,N,0,27,0,A000432
N,N,0,31,0,A000433
N,N,0,14,0,A000434
N,N,0,50,1,A000435
N,N,0,14,0,A000436
N,N,0,64,0,A000437
N,N,0,12,0,A000438
N,N,0,49,0,A000439
N,N,0,65,0,A000440
N,N,0,126,0,A000441
N,N,0,4,0,A000442
N,N,1,56,0,A000443
N,N,0,4,0,A000444
N,N,0,131,0,A000445
N,N,0,96,0,A000446
N,N,0,56,0,A000447
N,N,0,62,0,A000448
Y,N,1,50,0,A000449
N,N,0,75,1,A000450
N,N,0,11,0,A000451
N,N,0,67,0,A000452
N,N,0,47,0,A000453
Y,N,1,,0,A000454
N,N,0,17,0,A000455
N,N,0,1,1,A000456
N,N,0,109,0,A000457
N,N,0,149,0,A000458
N,N,0,69,0,A000459
N,N,0,16,0,A000460
N,N,0,24,0,A000461
N,N,0,2,0,A000462
N,Y,0,,0,A000463
N,N,0,178,0,A000464
N,N,0,15,1,A000465
N,N,0,23,0,A000466
Y,N,1,10,0,A000467
N,N,0,96,0,A000468
N,N,0,69,0,A000469
N,N,0,67,0,A000470
